Date,Star
2021.11.02,5
2021.12.09,2
2022.01.14,5
2023.02.18,5
2023.01.25,5
2023.01.03,5
2022.10.12,5
2022.07.12,5
2021.11.03,5
2021.11.22,4
2023.09.25,5
2022.07.07,5
2022.06.26,5
2022.01.20,5
2021.11.18,5
2021.11.24,1
2023.03.11,5
2022.03.07,5
2022.03.28,5
2022.01.18,5
2022.09.22,5
2022.03.01,5
2022.01.02,5
2021.11.02,5
2021.11.02,5
2021.11.04,5
2023.04.25,5
2022.12.12,5
2022.10.09,5
2022.07.03,5
2022.06.08,5
2022.04.22,5
2022.04.06,5
2022.03.07,4
2021.11.14,5
2021.11.03,5
2023.09.17,5
2023.01.08,5
2022.06.08,5
2021.11.17,4
2021.12.15,5
2021.12.02,5
2023.08.31,4
2022.12.29,4
2022.09.27,5
2022.04.13,5
2022.04.23,5
2022.04.18,4
2022.02.02,5
2021.11.20,5
2021.12.11,5
2023.05.09,5
2023.04.26,5
2023.02.26,5
2023.01.06,5
2023.01.03,5
2022.05.22,5
2022.03.22,5
2022.02.09,5
2021.11.04,5
2022.11.11,5
2022.08.30,4
2022.04.19,4
2023.02.05,5
2022.11.18,5
2022.08.24,5
2022.04.13,5
2022.05.01,5
2022.03.09,5
2021.11.03,5
2022.01.02,4
2021.12.10,5
2022.08.27,1
2022.08.18,5
2022.07.27,3
2022.07.16,5
2022.04.16,5
2022.04.06,4
2022.11.23,5
2022.06.16,5
2021.11.13,5
2021.11.25,5
2021.12.09,5
2023.05.11,5
2023.01.22,4
2022.11.01,5
2022.09.11,5
2022.06.11,3
2022.03.28,5
2023.07.25,5
2023.04.02,5
2022.09.13,5
2022.08.09,5
2022.05.26,5
2022.02.07,5
2022.02.17,5
2022.01.24,5
2022.01.14,5
2021.11.24,5
2021.12.15,3
2022.11.24,5
2022.01.25,5
2022.02.25,5
2021.11.18,5
2023.06.05,5
2023.02.27,5
2023.01.31,5
2022.11.22,5
2022.10.24,5
2022.10.21,5
2022.03.20,5
2022.01.20,5
2021.12.09,5
2022.07.30,5
2022.05.25,5
2022.01.28,5
2021.11.28,5
2023.01.09,5
2022.10.22,5
2022.04.16,5
2022.04.01,5
2021.11.03,5
2021.11.03,5
2021.11.02,5
2023.05.25,5
2022.02.04,5
2022.01.15,5
2021.12.11,5
2021.11.05,5
2022.08.10,5
2022.08.01,5
2022.04.05,1
2022.02.15,5
2021.11.19,5
2021.11.03,5
2022.06.06,5
2021.11.27,5
2021.11.25,5
2021.11.02,5
2023.01.26,5
2022.08.26,4
2022.07.08,5
2022.05.12,5
2021.12.01,5
2021.12.30,5
2023.09.19,5
2023.11.30,5
2022.05.10,5
2022.04.08,5
2022.02.11,4
2022.01.17,5
2021.11.03,5
2023.07.22,5
2023.03.01,5
2022.10.22,5
2022.09.14,5
2022.04.14,5
2023.11.17,5
2023.07.20,5
2022.08.04,5
2022.06.29,5
2022.01.16,5
2021.12.02,5
2021.11.03,5
2024.04.02,5
2023.07.11,5
2022.12.09,5
2022.11.09,5
2022.01.23,5
2022.01.24,5
2022.03.06,5
2021.11.08,5
2024.01.20,4
2022.04.10,5
2022.02.26,5
2023.10.22,5
2022.06.10,5
2021.12.05,5
2021.12.12,5
2023.04.21,5
2022.07.13,5
2022.06.06,5
2022.05.07,5
2022.01.22,5
2021.12.16,5
2021.11.02,5
2021.11.02,5
2022.11.21,5
2022.05.11,5
2021.11.19,5
2022.11.06,5
2022.10.26,5
2022.03.22,5
2022.02.16,5
2022.01.08,4
2021.11.03,5
2021.11.13,5
2023.05.01,5
2023.08.29,5
2023.01.18,5
2022.08.02,5
2022.06.14,5
2022.01.12,5
2022.05.07,5
2021.11.25,5
2023.08.13,5
2023.05.07,5
2021.11.25,5
2021.11.13,5
2021.11.16,5
2022.01.13,5
2023.04.16,5
2023.04.13,5
2023.03.11,5
2022.10.10,5
2022.05.08,5
2022.02.21,5
2022.01.13,5
2022.08.19,5
2022.06.13,5
2022.05.31,5
2021.11.19,5
2022.01.12,5
2022.10.20,5
2024.01.15,4
2022.06.29,5
2022.06.19,5
2021.12.03,5
2022.05.25,5
2022.02.07,5
2021.12.16,5
2023.05.10,5
2022.05.10,5
2021.12.19,5
2022.01.09,5
2023.04.29,5
2023.06.26,5
2022.08.12,5
2022.04.01,5
2022.01.29,3
2022.07.31,5
2022.04.04,5
2022.02.05,5
2022.03.06,5
2021.11.08,5
2023.12.02,5
2022.09.23,5
2021.11.12,5
2024.04.28,5
2022.09.05,5
2022.04.22,5
2022.03.19,5
2023.02.21,5
2022.10.02,5
2022.03.08,5
2021.11.10,5
2021.11.04,5
2021.12.10,5
2021.12.06,5
2023.03.07,5
2023.01.19,4
2022.05.06,5
2022.03.25,5
2022.03.16,5
2022.10.03,5
2021.11.11,5
2021.12.22,5
2022.06.16,5
2022.03.24,5
2022.01.08,5
2022.06.26,5
2022.09.16,5
2022.04.09,5
2022.01.24,5
2021.11.09,5
2022.01.18,5
2022.01.28,5
2021.11.17,5
2021.11.25,5
2022.01.19,5
2022.03.08,1
2021.11.07,5
2021.12.23,5
2022.01.09,5
2022.01.22,4
2021.11.22,5
2022.01.29,5
2022.02.01,5
2021.11.26,5
2021.12.08,5
2021.12.09,5
2022.01.06,5
2022.05.15,5
2022.11.05,5
2022.11.16,5
2023.01.12,5
2023.06.12,5
2024.04.17,5
2021.11.04,5
2021.11.15,5
2022.05.21,5
2022.07.05,5
2022.06.30,5
2023.03.22,5
2023.06.17,5
2022.03.14,5
2022.05.23,4
2023.08.02,5
2024.09.20,5
2021.11.04,5
2021.11.23,4
2021.12.25,5
2022.02.18,5
2022.04.19,5
2023.01.05,5
2021.11.02,5
2021.12.16,5
2021.11.20,5
2021.12.09,5
2022.04.03,1
2022.06.22,5
2022.11.09,5
2022.01.20,5
2022.03.04,4
2022.07.21,5
2021.11.02,5
2021.11.02,5
2021.11.09,5
2022.02.06,5
2022.03.26,1
2022.05.01,1
2021.11.04,5
2021.11.14,5
2022.04.13,5
2022.08.15,5
2022.10.20,5
2021.11.04,5
2021.11.07,5
2021.12.05,5
2021.12.13,5
2022.01.10,5
2022.01.24,5
2022.02.03,5
2022.04.17,5
2022.06.08,5
2022.11.24,5
2023.04.26,5
2021.11.14,5
2022.01.20,5
2021.11.07,5
2021.12.04,5
2022.02.09,5
2022.05.01,5
2022.07.06,5
2022.09.17,5
2022.11.22,5
2022.01.25,5
2022.03.01,5
2022.03.06,5
2022.05.04,5
2022.06.14,5
2022.10.25,5
2022.02.12,5
2022.03.25,5
2022.05.16,5
2023.06.25,1
2021.11.02,5
2021.11.17,5
2022.10.23,5
2023.10.08,5
2021.12.16,5
2022.08.18,5
2022.10.20,5
2021.11.05,5
2021.11.08,5
2022.02.15,5
2022.03.24,5
2022.12.14,5
2023.01.04,5
2024.03.20,5
2022.01.19,5
2022.02.09,5
2022.03.05,5
2022.06.06,5
2022.08.28,5
2023.02.16,5
2021.11.06,5
2021.11.14,5
2022.01.13,5
2022.02.17,1
2022.05.05,5
2022.05.15,5
2024.01.05,2
2021.12.01,5
2022.02.25,5
2022.01.27,5
2022.03.17,5
2022.10.07,5
2021.11.28,5
2021.12.08,5
2022.03.22,5
2023.02.08,5
2023.03.13,5
2023.04.01,5
2023.12.26,5
2021.11.02,5
2021.11.07,5
2021.11.07,5
2021.12.05,5
2022.01.20,4
2022.06.18,5
2022.10.19,5
2021.12.13,5
2022.02.11,5
2022.04.02,5
2022.09.23,5
2023.07.24,4
2021.11.05,5
2021.12.21,5
2022.03.11,5
2022.04.12,5
2022.04.12,5
2022.05.09,4
2022.12.06,5
2023.01.28,5
2023.06.15,5
2021.11.02,5
2021.12.29,5
2022.01.24,5
2023.11.05,5
2021.11.15,5
2021.11.22,5
2022.01.18,5
2023.02.05,5
2023.06.06,5
2022.02.14,5
2022.02.17,5
2022.02.17,3
2022.01.09,5
2022.01.15,5
2022.04.10,5
2022.06.26,5
2021.11.13,5
2021.11.26,5
2021.12.28,5
2022.06.08,5
2023.08.07,5
2022.06.05,5
2022.07.06,5
2024.10.20,5
2022.02.13,5
2023.06.30,5
2024.03.07,5
2022.01.09,5
2023.07.30,5
2021.11.02,5
